node_id	organism	node_type	role	uniprot_id	ncbi_protein_id	source_pmid	maaslin2_coef	maaslin2_qval
ERBB2	Homo sapiens	seed_human	host_oncogenic_receptor	P04626	NA	NA	NA	NA
KRAS	Homo sapiens	seed_human	MAPK_cascade_node	P01116	NA	NA	NA	NA
MAP2K1	Homo sapiens	seed_human	MAPK_cascade_node	Q02750	NA	NA	NA	NA
MAPK3	Homo sapiens	seed_human	MAPK_cascade_node	P27361	NA	NA	NA	NA
MAPK1	Homo sapiens	seed_human	MAPK_cascade_node	P28482	NA	NA	NA	NA
RELA	Homo sapiens	seed_human	NF-kB_axis_node	Q04206	NA	NA	NA	NA
NFKB1	Homo sapiens	seed_human	NF-kB_axis_node	P19838	NA	NA	NA	NA
IKBKB	Homo sapiens	seed_human	NF-kB_axis_node	O14920	NA	NA	NA	NA
CEBPB	Homo sapiens	seed_human	inflammation_TF	P17676	NA	NA	NA	NA
SAA1	Homo sapiens	seed_human	acute_phase_protein	P0DJI8	NA	41850426	NA	NA
IL17C	Homo sapiens	seed_human	proinflammatory_cytokine	Q9P0M4	NA	41850426	NA	NA
IL17RA	Homo sapiens	seed_human	host_cytokine_receptor	Q96F46	NA	21993849	NA	NA
CXCL8	Homo sapiens	seed_human	chemokine	P10145	NA	NA	NA	NA
CXCR1	Homo sapiens	seed_human	chemokine_receptor	P25024	NA	NA	NA	NA
CXCR2	Homo sapiens	seed_human	chemokine_receptor	P25025	NA	NA	NA	NA
ITGA6	Homo sapiens	seed_human	host_integrin_receptor	P23229	NA	39059397	NA	NA
ITGB4	Homo sapiens	seed_human	host_integrin_receptor	P16144	NA	39059397	NA	NA
DNMT1	Homo sapiens	seed_human	epigenetic_methyltransferase	P26358	NA	NA	NA	NA
DNMT3A	Homo sapiens	seed_human	epigenetic_methyltransferase	Q9Y6K1	NA	NA	NA	NA
DNMT3B	Homo sapiens	seed_human	epigenetic_methyltransferase	Q9UBC3	NA	NA	NA	NA
APC	Homo sapiens	seed_human	tumor_suppressor	P25054	NA	NA	NA	NA
MLH1	Homo sapiens	seed_human	DNA_mismatch_repair	P40692	NA	NA	NA	NA
CDKN2A	Homo sapiens	seed_human	cell_cycle_inhibitor	P42771	NA	NA	NA	NA
H2BC4	Homo sapiens	seed_human	histone_H2B_substrate_SirTM	P62807	NA	41850426	NA	NA
TLR4	Homo sapiens	seed_human	innate_immune_PRR_LPS_receptor	O00206	NA	27876571	NA	NA
MYD88	Homo sapiens	seed_human	TLR_adapter_NFkB_pathway	Q99836	NA	27876571	NA	NA
NFKBIA	Homo sapiens	shell_human	NA	NA	NA	NA	NA	NA
RELB	Homo sapiens	shell_human	NA	NA	NA	NA	NA	NA
MSH2	Homo sapiens	shell_human	NA	NA	NA	NA	NA	NA
MSH6	Homo sapiens	shell_human	NA	NA	NA	NA	NA	NA
TICAM1	Homo sapiens	shell_human	NA	NA	NA	NA	NA	NA
RAF1	Homo sapiens	shell_human	NA	NA	NA	NA	NA	NA
IRAK2	Homo sapiens	shell_human	NA	NA	NA	NA	NA	NA
CDK4	Homo sapiens	shell_human	NA	NA	NA	NA	NA	NA
MDM2	Homo sapiens	shell_human	NA	NA	NA	NA	NA	NA
AXIN1	Homo sapiens	shell_human	NA	NA	NA	NA	NA	NA
SirTM	Parvimonas micra	bacterial_effector	bacterial_effector_ADP-ribosyltransferase	NA	WP_029950202.1	41850426	1.00172772133211	3.70881290239807e-07
FBA	Peptostreptococcus stomatis	bacterial_effector	bacterial_adhesin_surface_moonlighting	E0E2E9	EFM64912.1	39059397	0.745144857741673	1.51992191020824e-05
