from	to	combined_score
9606.ENSP00000215832	9606.ENSP00000216797	949
9606.ENSP00000215832	9606.ENSP00000216797	949
9606.ENSP00000216797	9606.ENSP00000221452	997
9606.ENSP00000216797	9606.ENSP00000221452	997
9606.ENSP00000215832	9606.ENSP00000226574	945
9606.ENSP00000215832	9606.ENSP00000226574	945
9606.ENSP00000216797	9606.ENSP00000226574	999
9606.ENSP00000216797	9606.ENSP00000226574	999
9606.ENSP00000221452	9606.ENSP00000226574	999
9606.ENSP00000221452	9606.ENSP00000226574	999
9606.ENSP00000231790	9606.ENSP00000233146	999
9606.ENSP00000231790	9606.ENSP00000233146	999
9606.ENSP00000231790	9606.ENSP00000234420	999
9606.ENSP00000231790	9606.ENSP00000234420	999
9606.ENSP00000233146	9606.ENSP00000234420	999
9606.ENSP00000233146	9606.ENSP00000234420	999
9606.ENSP00000215832	9606.ENSP00000251849	989
9606.ENSP00000215832	9606.ENSP00000251849	989
9606.ENSP00000226574	9606.ENSP00000251849	836
9606.ENSP00000226574	9606.ENSP00000251849	836
9606.ENSP00000215832	9606.ENSP00000256078	989
9606.ENSP00000215832	9606.ENSP00000256078	989
9606.ENSP00000226574	9606.ENSP00000256078	761
9606.ENSP00000226574	9606.ENSP00000256078	761
9606.ENSP00000231790	9606.ENSP00000256078	772
9606.ENSP00000231790	9606.ENSP00000256078	772
9606.ENSP00000251849	9606.ENSP00000256078	999
9606.ENSP00000251849	9606.ENSP00000256078	999
9606.ENSP00000231790	9606.ENSP00000257904	823
9606.ENSP00000231790	9606.ENSP00000257904	823
9606.ENSP00000256078	9606.ENSP00000257904	842
9606.ENSP00000256078	9606.ENSP00000257904	842
9606.ENSP00000257904	9606.ENSP00000258149	816
9606.ENSP00000257904	9606.ENSP00000258149	816
9606.ENSP00000257430	9606.ENSP00000262320	999
9606.ENSP00000257430	9606.ENSP00000262320	999
9606.ENSP00000216797	9606.ENSP00000262367	966
9606.ENSP00000216797	9606.ENSP00000262367	966
9606.ENSP00000226574	9606.ENSP00000262367	969
9606.ENSP00000226574	9606.ENSP00000262367	969
9606.ENSP00000258149	9606.ENSP00000262367	997
9606.ENSP00000258149	9606.ENSP00000262367	997
9606.ENSP00000215832	9606.ENSP00000262948	999
9606.ENSP00000215832	9606.ENSP00000262948	999
9606.ENSP00000251849	9606.ENSP00000262948	997
9606.ENSP00000251849	9606.ENSP00000262948	997
9606.ENSP00000256078	9606.ENSP00000262948	964
9606.ENSP00000256078	9606.ENSP00000262948	964
9606.ENSP00000215832	9606.ENSP00000263025	988
9606.ENSP00000215832	9606.ENSP00000263025	988
9606.ENSP00000216797	9606.ENSP00000263025	972
9606.ENSP00000216797	9606.ENSP00000263025	972
9606.ENSP00000226574	9606.ENSP00000263025	943
9606.ENSP00000226574	9606.ENSP00000263025	943
9606.ENSP00000251849	9606.ENSP00000263025	986
9606.ENSP00000251849	9606.ENSP00000263025	986
9606.ENSP00000256078	9606.ENSP00000263025	986
9606.ENSP00000256078	9606.ENSP00000263025	986
9606.ENSP00000262367	9606.ENSP00000263025	701
9606.ENSP00000262367	9606.ENSP00000263025	701
9606.ENSP00000262948	9606.ENSP00000263025	995
9606.ENSP00000262948	9606.ENSP00000263025	995
9606.ENSP00000257904	9606.ENSP00000264709	766
9606.ENSP00000257904	9606.ENSP00000264709	766
9606.ENSP00000256078	9606.ENSP00000269571	992
9606.ENSP00000256078	9606.ENSP00000269571	992
9606.ENSP00000215832	9606.ENSP00000302486	998
9606.ENSP00000215832	9606.ENSP00000302486	998
9606.ENSP00000226574	9606.ENSP00000302486	770
9606.ENSP00000226574	9606.ENSP00000302486	770
9606.ENSP00000251849	9606.ENSP00000302486	998
9606.ENSP00000251849	9606.ENSP00000302486	998
9606.ENSP00000256078	9606.ENSP00000302486	988
9606.ENSP00000256078	9606.ENSP00000302486	988
9606.ENSP00000262948	9606.ENSP00000302486	970
9606.ENSP00000262948	9606.ENSP00000302486	970
9606.ENSP00000263025	9606.ENSP00000302486	998
9606.ENSP00000263025	9606.ENSP00000302486	998
9606.ENSP00000269571	9606.ENSP00000302486	947
9606.ENSP00000269571	9606.ENSP00000302486	947
9606.ENSP00000215832	9606.ENSP00000305422	960
9606.ENSP00000215832	9606.ENSP00000305422	960
9606.ENSP00000226574	9606.ENSP00000305422	896
9606.ENSP00000226574	9606.ENSP00000305422	896
9606.ENSP00000262367	9606.ENSP00000305422	981
9606.ENSP00000262367	9606.ENSP00000305422	981
9606.ENSP00000263025	9606.ENSP00000305422	972
9606.ENSP00000263025	9606.ENSP00000305422	972
9606.ENSP00000216797	9606.ENSP00000306512	843
9606.ENSP00000216797	9606.ENSP00000306512	843
9606.ENSP00000226574	9606.ENSP00000306512	958
9606.ENSP00000226574	9606.ENSP00000306512	958
9606.ENSP00000262367	9606.ENSP00000306512	960
9606.ENSP00000262367	9606.ENSP00000306512	960
9606.ENSP00000269571	9606.ENSP00000306512	716
9606.ENSP00000269571	9606.ENSP00000306512	716
9606.ENSP00000295683	9606.ENSP00000306512	999
9606.ENSP00000295683	9606.ENSP00000306512	999
9606.ENSP00000305422	9606.ENSP00000306512	971
9606.ENSP00000305422	9606.ENSP00000306512	971
9606.ENSP00000295683	9606.ENSP00000319635	944
9606.ENSP00000295683	9606.ENSP00000319635	944
9606.ENSP00000306512	9606.ENSP00000319635	999
9606.ENSP00000306512	9606.ENSP00000319635	999
9606.ENSP00000264709	9606.ENSP00000328547	982
9606.ENSP00000264709	9606.ENSP00000328547	982
9606.ENSP00000231790	9606.ENSP00000352516	707
9606.ENSP00000231790	9606.ENSP00000352516	707
9606.ENSP00000264709	9606.ENSP00000352516	998
9606.ENSP00000264709	9606.ENSP00000352516	998
9606.ENSP00000328547	9606.ENSP00000352516	998
9606.ENSP00000328547	9606.ENSP00000352516	998
9606.ENSP00000215832	9606.ENSP00000384273	944
9606.ENSP00000215832	9606.ENSP00000384273	944
9606.ENSP00000216797	9606.ENSP00000384273	999
9606.ENSP00000216797	9606.ENSP00000384273	999
9606.ENSP00000221452	9606.ENSP00000384273	979
9606.ENSP00000221452	9606.ENSP00000384273	979
9606.ENSP00000226574	9606.ENSP00000384273	999
9606.ENSP00000226574	9606.ENSP00000384273	999
9606.ENSP00000251849	9606.ENSP00000384273	844
9606.ENSP00000251849	9606.ENSP00000384273	844
9606.ENSP00000256078	9606.ENSP00000384273	865
9606.ENSP00000256078	9606.ENSP00000384273	865
9606.ENSP00000262367	9606.ENSP00000384273	999
9606.ENSP00000262367	9606.ENSP00000384273	999
9606.ENSP00000263025	9606.ENSP00000384273	946
9606.ENSP00000263025	9606.ENSP00000384273	946
9606.ENSP00000305422	9606.ENSP00000384273	973
9606.ENSP00000305422	9606.ENSP00000384273	973
9606.ENSP00000306512	9606.ENSP00000384273	991
9606.ENSP00000306512	9606.ENSP00000384273	991
9606.ENSP00000352516	9606.ENSP00000384273	795
9606.ENSP00000352516	9606.ENSP00000384273	795
9606.ENSP00000226574	9606.ENSP00000384906	912
9606.ENSP00000226574	9606.ENSP00000384906	912
9606.ENSP00000384273	9606.ENSP00000384906	914
9606.ENSP00000384273	9606.ENSP00000384906	914
9606.ENSP00000231790	9606.ENSP00000418915	810
9606.ENSP00000231790	9606.ENSP00000418915	810
9606.ENSP00000256078	9606.ENSP00000418915	965
9606.ENSP00000256078	9606.ENSP00000418915	965
9606.ENSP00000257904	9606.ENSP00000418915	999
9606.ENSP00000257904	9606.ENSP00000418915	999
9606.ENSP00000258149	9606.ENSP00000418915	999
9606.ENSP00000258149	9606.ENSP00000418915	999
9606.ENSP00000269571	9606.ENSP00000418915	726
9606.ENSP00000269571	9606.ENSP00000418915	726
9606.ENSP00000384273	9606.ENSP00000418915	752
9606.ENSP00000384273	9606.ENSP00000418915	752
9606.ENSP00000216797	9606.ENSP00000430684	999
9606.ENSP00000216797	9606.ENSP00000430684	999
9606.ENSP00000221452	9606.ENSP00000430684	826
9606.ENSP00000221452	9606.ENSP00000430684	826
9606.ENSP00000226574	9606.ENSP00000430684	999
9606.ENSP00000226574	9606.ENSP00000430684	999
9606.ENSP00000262367	9606.ENSP00000430684	851
9606.ENSP00000262367	9606.ENSP00000430684	851
9606.ENSP00000384273	9606.ENSP00000430684	998
9606.ENSP00000384273	9606.ENSP00000430684	998
