"analysis","feature_set","model","k_folds","mean_AUROC","pooled_AUROC","CI_95_lo","CI_95_hi","I2_pct","p_heterog","perm_p"
"eoCRC_vs_YoungCtrl","species","RF",7,0.739,0.704,0.602,0.789,4.5,0.3925,0.002
"eoCRC_vs_YoungCtrl","species","XGB",7,0.685,0.673,0.573,0.76,2.6,0.4054,NA
"eoCRC_vs_YoungCtrl","species","EN",8,0.643,0.601,0.511,0.684,0,0.7095,NA
"eoCRC_vs_YoungCtrl","pathways","RF",7,0.655,0.646,0.552,0.73,0,0.9459,0.181
"eoCRC_vs_YoungCtrl","pathways","XGB",7,0.619,0.598,0.504,0.685,0,0.9405,NA
"eoCRC_vs_YoungCtrl","pathways","EN",8,0.631,0.568,0.469,0.661,6.3,0.3819,NA
"eoCRC_vs_YoungCtrl","combined","RF",7,0.754,0.708,0.561,0.821,36.3,0.1513,0
"eoCRC_vs_YoungCtrl","combined","XGB",7,0.685,0.673,0.573,0.76,2.6,0.4054,NA
"eoCRC_vs_YoungCtrl","combined","EN",8,0.609,0.574,0.485,0.659,0,0.8157,NA
"eoCRC_vs_loCRC","species","RF",9,0.663,0.646,0.54,0.74,28.3,0.193,0.018
"eoCRC_vs_loCRC","species","XGB",9,0.705,0.719,0.64,0.787,3.4,0.4065,NA
"eoCRC_vs_loCRC","species","EN",9,0.586,0.583,0.509,0.652,0,0.8908,NA
"eoCRC_vs_loCRC","pathways","RF",9,0.649,0.641,0.563,0.712,0,0.7825,0.032
"eoCRC_vs_loCRC","pathways","XGB",9,0.647,0.658,0.582,0.727,0,0.4619,NA
"eoCRC_vs_loCRC","pathways","EN",9,0.57,0.542,0.471,0.612,0,0.962,NA
"eoCRC_vs_loCRC","combined","RF",9,0.656,0.636,0.519,0.74,39,0.1079,0.017
"eoCRC_vs_loCRC","combined","XGB",9,0.705,0.719,0.64,0.787,3.4,0.4065,NA
"eoCRC_vs_loCRC","combined","EN",9,0.556,0.535,0.463,0.605,0,0.8351,NA
