"rank","feature","feat_type","mean_abs_SHAP","direction","in_maaslin2","maaslin2_q","maaslin2_coef","validated","short_name"
1,"species:Lachnospira eligens","species",0.02624,"↓ eoCRC","no",NA,NA,"SHAP only","Lachnospira eligens"
2,"species:[Ruminococcus] lactaris","species",0.0237,"↑ eoCRC","no",NA,NA,"SHAP only","[Ruminococcus] lactaris"
3,"species:Bacteroides cellulosilyticus","species",0.02144,"↓ eoCRC","no",NA,NA,"SHAP only","Bacteroides cellulosilyticus"
4,"species:Parasutterella excrementihominis","species",0.01843,"↓ eoCRC","no",NA,NA,"SHAP only","Parasutterella excrementihominis"
5,"species:Phascolarctobacterium succinatutens","species",0.01785,"↓ eoCRC","no",NA,NA,"SHAP only","Phascolarctobacterium succinatutens"
6,"species:Bacteroides caccae","species",0.01708,"↑ eoCRC","YES",0.1493,0.00503,"DOUBLY VALIDATED","Bacteroides caccae"
7,"species:Streptococcus thermophilus","species",0.01581,"↓ eoCRC","no",NA,NA,"SHAP only","Streptococcus thermophilus"
8,"species:Roseburia intestinalis","species",0.01279,"↑ eoCRC","no",NA,NA,"SHAP only","Roseburia intestinalis"
9,"species:Phocaeicola vulgatus","species",0.01267,"↓ eoCRC","no",NA,NA,"SHAP only","Phocaeicola vulgatus"
10,"species:Firmicutes bacterium CAG:83","species",0.01255,"↓ eoCRC","no",NA,NA,"SHAP only","Firmicutes bacterium CAG:83"
11,"species:Phocaeicola plebeius","species",0.01215,"↑ eoCRC","no",NA,NA,"SHAP only","Phocaeicola plebeius"
12,"species:Phascolarctobacterium faecium","species",0.01149,"↓ eoCRC","no",NA,NA,"SHAP only","Phascolarctobacterium faecium"
13,"species:Akkermansia muciniphila","species",0.01117,"↓ eoCRC","no",NA,NA,"SHAP only","Akkermansia muciniphila"
14,"species:Alistipes putredinis","species",0.01059,"↓ eoCRC","no",NA,NA,"SHAP only","Alistipes putredinis"
15,"species:Lachnospira pectinoschiza","species",0.01045,"↑ eoCRC","no",NA,NA,"SHAP only","Lachnospira pectinoschiza"
16,"species:Eubacterium ventriosum","species",0.00978,"↑ eoCRC","no",NA,NA,"SHAP only","Eubacterium ventriosum"
17,"species:Bacteroides fragilis","species",0.00917,"↓ eoCRC","no",NA,NA,"SHAP only","Bacteroides fragilis"
18,"species:Roseburia faecis","species",0.00902,"↑ eoCRC","no",NA,NA,"SHAP only","Roseburia faecis"
19,"species:Bifidobacterium bifidum","species",0.00895,"↑ eoCRC","no",NA,NA,"SHAP only","Bifidobacterium bifidum"
20,"species:Bacteroides ovatus","species",0.00874,"↑ eoCRC","no",NA,NA,"SHAP only","Bacteroides ovatus"
